fecha,Consumo,desempleo,Consumo_sa,desempleo_sa
2014-03-01,2.0882236990382648,6.5,2.0739536258776474,6.546681134259259
2014-04-01,2.089531877159587,6.1,2.064758107941553,6.121756891835017
2014-05-01,2.0780265083617233,6.3,2.028396094435054,6.016491740319865
2014-06-01,2.0802190881192275,6.5,2.040616654779127,6.16759022516835
2014-07-01,2.0879671169576905,6.5,2.0665096565774137,6.080506891835017
2014-08-01,2.068683420139422,6.7,2.130695430019936,6.3695599221380474
2014-09-01,2.1380419458483235,6.6,2.197536097149683,6.401791614057238
2014-10-01,2.112315086556237,6.4,2.17720399407544,6.401513836279461
2014-11-01,2.0992515866180805,6.1,2.1468683307434824,6.395368002946127
2014-12-01,2.1347726596291134,6.0,2.145495128119825,6.504812447390572
2015-01-01,2.1413766717659843,6.2,2.1164104612826016,6.618874947390573
2015-02-01,2.2151978758376534,6.1,2.145163955029545,6.375052346380471
2015-03-01,2.137508658825639,6.1,2.1232385856650215,6.146681134259259
2015-04-01,2.127461423790588,6.1,2.1026876545725535,6.121756891835017
2015-05-01,2.0808062481762155,6.6,2.031175834249546,6.316491740319865
2015-06-01,2.0501232594179526,6.5,2.010520826077852,6.16759022516835
2015-07-01,2.0198704210351313,6.6,1.9984129606548544,6.180506891835017
2015-08-01,1.9772746661278844,6.5,2.0392866760083983,6.169559922138047
2015-09-01,1.980686141414519,6.4,2.0401802927158785,6.201791614057239
2015-10-01,1.907613120801176,6.3,1.9725020283203794,6.301513836279461
2015-11-01,1.906561195316809,6.1,1.9541779394422107,6.395368002946127
2015-12-01,2.0814539432647283,5.8,2.09217641175544,6.304812447390572
2016-01-01,2.071660333735117,5.8,2.046694123251734,6.218874947390573
2016-02-01,2.1141733628378336,5.9,2.044139442029725,6.175052346380472
2016-03-01,2.018431997449476,6.3,2.0041619242888586,6.346681134259259
2016-04-01,1.9806747301354826,6.4,1.9559009609174483,6.421756891835018
2016-05-01,1.9668087530806442,6.8,1.917178339153975,6.516491740319865
2016-06-01,1.9563630030217958,6.9,1.916760569681695,6.567590225168351
2016-07-01,1.968875679751723,7.1,1.9474182193714462,6.680506891835017
2016-08-01,1.937841549168319,6.9,1.9998535590488327,6.569559922138048
2016-09-01,1.9609592848563075,6.8,2.020453436157667,6.601791614057238
2016-10-01,1.9795068685674728,6.4,2.044395776086676,6.401513836279461
2016-11-01,2.0048673235933414,6.2,2.0524840677187433,6.495368002946128
2016-12-01,1.9961273506858315,6.1,2.006849819176543,6.604812447390572
2017-01-01,2.1761318101259874,6.2,2.1511655996426047,6.618874947390573
2017-02-01,2.227161632055152,6.4,2.1571277112470435,6.675052346380472
2017-03-01,2.1823308980975376,6.6,2.16806082493692,6.646681134259259
2017-04-01,2.1688388394970612,6.7,2.144065070279027,6.7217568918350175
2017-05-01,2.1670825548879837,7.0,2.1174521409613143,6.716491740319865
2017-06-01,2.1081067927140764,7.0,2.068504359373976,6.66759022516835
2017-07-01,2.077419301663674,6.9,2.055961841283397,6.4805068918350175
2017-08-01,2.0172740675482954,6.6,2.0792860774288093,6.269559922138047
2017-09-01,2.053492642577396,6.7,2.1129867938787554,6.501791614057239
2017-10-01,2.0449407392805035,6.7,2.1098296467997066,6.701513836279461
2017-11-01,2.0969515114504995,6.5,2.1445682555759014,6.795368002946128
2017-12-01,2.14329382211146,6.4,2.1540162906021716,6.904812447390572
2018-01-01,2.2054934980085483,6.5,2.1805272875251656,6.918874947390573
2018-02-01,2.213612956941662,6.7,2.1435790361335534,6.975052346380472
2018-03-01,2.1013989305402174,6.9,2.0871288573796,6.94668113425926
2018-04-01,2.0517128423905397,6.7,2.0269390731725054,6.7217568918350175
2018-05-01,2.138763714188854,7.0,2.0891333002621844,6.716491740319865
2018-06-01,2.075982525544336,7.2,2.036380092204235,6.8675902251683505
2018-07-01,2.1225305722529813,7.3,2.1010731118727044,6.880506891835017
2018-08-01,2.034416188738467,7.3,2.0964281986189808,6.969559922138047
2018-09-01,2.0715763740512583,7.1,2.1310705253526177,6.901791614057238
2018-10-01,2.1048368794320016,7.1,2.1697257869512048,7.1015138362794605
2018-11-01,1.9922468403204245,6.8,2.0398635844458264,7.0953680029461275
2018-12-01,2.0832353559800754,6.7,2.093957824470787,7.204812447390572
2019-01-01,2.090331817301781,6.8,2.065365606818398,7.218874947390573
2019-02-01,2.2039961151422536,6.7,2.133962194334145,6.975052346380472
2019-03-01,2.154640447865179,6.85,2.1403703747045615,6.896681134259259
2019-04-01,2.173967828694997,6.86,2.1491940594769625,6.881756891835018
2019-05-01,2.161428326946451,7.09,2.1117979130197817,6.806491740319865
2019-06-01,2.1840038203489693,7.1,2.1444013870088687,6.76759022516835
2019-07-01,2.198955951535161,7.17,2.1774984911548843,6.750506891835017
2019-08-01,2.1195992490599025,7.19,2.1816112589404164,6.859559922138048
2019-09-01,2.2514208227138504,7.05,2.3109149740152097,6.851791614057238
2019-10-01,2.379923576208786,7.01,2.444812483727989,7.011513836279461
2019-11-01,2.485506493159357,6.88,2.5331232372847587,7.1753680029461275
2019-12-01,2.508183934142332,6.98,2.5189064026330437,7.484812447390572
2020-01-01,2.4481189393543707,7.43,2.423152728870988,7.848874947390573
2020-02-01,2.4573830040445532,7.81,2.387349083236445,8.085052346380472
2020-03-01,2.504075612132878,8.23,2.4898055389722606,8.27668113425926
2020-04-01,2.6501448368580074,9.0,2.625371067639973,9.021756891835016
2020-05-01,2.7795065758929356,11.21,2.729876161966266,10.926491740319866
2020-06-01,2.827629355041681,12.25,2.7880269217015803,11.91759022516835
2020-07-01,2.676304874199407,13.09,2.6548474138191303,12.670506891835016
2020-08-01,2.2374492886802217,12.93,2.2994612985607357,12.599559922138047
2020-09-01,1.8699351807353266,12.35,1.929429332036686,12.151791614057238
2020-10-01,1.5541256202786877,11.58,1.6190145277978911,11.581513836279461
2020-11-01,1.4745750509414357,10.76,1.5221917950668375,11.055368002946128
2020-12-01,1.430220030058399,10.29,1.4409424985491104,10.794812447390571
2021-01-01,1.4092161082728867,10.23,1.384249897789504,10.648874947390572
2021-02-01,1.4002200033195487,10.3,1.3301860825114404,10.575052346380472
2021-03-01,1.3562432517420837,10.35,1.3419731785814666,10.396681134259259
2021-04-01,1.3907203260928676,10.24,1.3659465568748332,10.261756891835017
2021-05-01,1.404888852704345,10.04,1.3552584387776756,9.756491740319865
2021-06-01,1.3758155997263433,9.5,1.3362131663862424,9.16759022516835
2021-07-01,1.2916565445462356,8.93,1.2701990841659587,8.510506891835016
2021-08-01,1.1652179863050882,8.55,1.227229996185602,8.219559922138048
2021-09-01,1.0970151778989035,8.41,1.1565093292002628,8.211791614057239
2021-10-01,1.0727728106235401,8.08,1.1376617181427435,8.081513836279461
2021-11-01,1.126062963968656,7.53,1.1736797080940577,7.825368002946128
2021-12-01,1.132084424600478,7.19,1.1428068930911894,7.694812447390572
2022-01-01,1.2371208791150292,7.27,1.2121546686316464,7.688874947390572
2022-02-01,1.321441042096423,7.5,1.2514071212883149,7.7750523463804715
2022-03-01,1.3479567461129185,7.8,1.3336866729523014,7.846681134259259
2022-04-01,1.4756126280310005,7.75,1.4508388588129661,7.771756891835017
2022-05-01,1.6439587997017606,7.8,1.5943283857750914,7.516491740319865
2022-06-01,1.7665624132187936,7.81,1.7269599798786928,7.47759022516835
2022-07-01,1.8867082559007313,7.92,1.8652507955204545,7.500506891835017
2022-08-01,2.0043473786335153,7.93,2.0663593885140292,7.599559922138047
2022-09-01,1.9944133756021614,8.04,2.053907526903521,7.841791614057238
2022-10-01,2.296263931638342,7.97,2.3611528391575454,7.971513836279461
2022-11-01,2.4014190685636247,7.95,2.4490358126890266,8.245368002946128
2022-12-01,2.4844881197810484,7.86,2.49521058827176,8.364812447390573
