,central,p05,p95,factor,Δ_sa,Δ_cruda,central_sa
2026-05-01,2.450752039638675,2.351600894059703,2.544116282893529,0.05174698007329326,,,2.399005059565382
2026-06-01,2.4456359516753214,2.324079092276812,2.5757623460741494,0.04171899948672486,0.004911892623214786,-0.0051160879633536105,2.4039169521885966
2026-07-01,2.4401848680574307,2.2926679873738984,2.5966440007673346,0.02357402652690103,0.012693889341933051,-0.005451083617890706,2.4166108415305296
2026-08-01,2.388662157871221,2.2279025280435247,2.5565403603272867,-0.059895443733889685,0.03194676007458108,-0.051522710186209686,2.4485576016051107
2026-09-01,2.410227893161502,2.2423015277350933,2.585818908758717,-0.057377585154735476,0.019047876711126843,0.02156573529028094,2.4676054783162376
2026-10-01,2.433886197822875,2.2608793723610137,2.608596707564506,-0.06277234137257937,0.029053060879216996,0.023658304661373197,2.4966585391954546
2026-11-01,2.457161643875999,2.2810020273429026,2.63328687314781,-0.05420898174931834,0.014712086429862659,0.023275446053123705,2.511370625625317
2026-12-01,2.5280326700212608,2.3444882083739014,2.704525787685111,-0.02059890270493181,0.03726094710087535,0.07087102614526186,2.5486315727261926
